,city,source,pollutant_subtype,concentration
115,Dakar,industry,PM25_NH4,0.0027513822837698263
116,Nanjing,transportation,PM25_PRIMARY,0.19649109664473974
117,Jakarta,residential,PM25_NO3,0.22480218194882576
118,Santiago,residential,PM25_SO4,0.3852863914246297
119,Lagos,residential,PM25_NH4,0.4277547058469887
120,Chennai,shipping,PM25_NO3,0.0009514773059632668
121,Milan,powerplants,PM25_PRIMARY,0.020618337163523157
122,Barcelona,powerplants,PM25_PRIMARY,0.0040192890994158546
123,New York City,transportation,PM25_NO3,0.6641164856353184
124,Curitiba,industry,PM25_NO3,2.2476611445722634
125,Seattle,shipping,PM25_SO4,0.01441442522382068
126,Boston,dust,PM25_PRIMARY,0.0
127,Toronto,wildfires,PM25_NH4,0.0
128,Curitiba,solvents,PM25_SO4,0.0
129,Lima,agriculture,PM25_PRIMARY,0.0
130,Wuhan,agriculture,PM25_PRIMARY,0.0
131,Karachi,waste_handling,PM25_PRIMARY,2.32613073983216
132,Istanbul,residential,PM25_NH4,0.06733894941895519
133,Chengdu,powerplants,PM25_PRIMARY,1.771941670057143
134,Lisbon,powerplants,PM25_SO4,0.004656268153706953
135,Chengdu,residential,PM25_PRIMARY,1.96028723347482
136,Jakarta,solvents,PM25_SO4,0.0
137,Addis Ababa,shipping,PM25_NH4,0.0
138,Santiago,soil,PM25_NH4,0.0
139,Tokyo,soil,PM25_PRIMARY,0.0
140,Paris,vegetation,PM25_NO3,0.0
141,Chennai,soil,PM25_PRIMARY,0.0
142,Medellín,transportation,PM25_NH4,0.0076053853950351575
143,Dakar,industry,PM25_NO3,0.1293136133834662
144,Ciudad de México,solvents,PM25_SO4,0.0
145,Bengaluru,vegetation,PM25_NH4,0.0
146,Quito,industry,PM25_NO3,0.09724508793057007
147,Fuzhou,industry,PM25_PRIMARY,0.033337414939398645
148,Durban (eThekwini),transportation,PM25_NO3,0.19544238084267884
149,Santiago,residential,PM25_SOA,0.018549573399192592
150,Tokyo,agriculture,PM25_PRIMARY,0.0
151,Shenzhen,residential,PM25_PRIMARY,0.7477375925250207
152,Lagos,residential,PM25_NO3,0.05009027659069789
153,Salvador,agriculture,PM25_PRIMARY,0.0
154,Jakarta,residential,PM25_SO4,1.5188398578215387
155,Chennai,shipping,PM25_SO4,0.0030700387915124426
156,Milan,powerplants,PM25_NH4,0.0003928884194060753
157,Barcelona,powerplants,PM25_NH4,0.00022464275661114927
158,New York City,transportation,PM25_SO4,0.04457822548902511
159,Seattle,shipping,PM25_SOA,3.6996362942679636e-05
160,Beijing,wildfires,PM25_PRIMARY,0.021505155584813
161,Quezon City,residential,PM25_PRIMARY,0.002695189708626945
162,Yokohama,residential,PM25_PRIMARY,0.370161828285086
163,Boston,dust,PM25_NH4,0.0
164,Curitiba,industry,PM25_SO4,7.0515835461463485
165,Toronto,wildfires,PM25_NO3,0.0
166,Curitiba,vegetation,PM25_PRIMARY,0.0
167,Tel Aviv,vegetation,PM25_PRIMARY,0.0
168,Curitiba,solvents,PM25_SOA,0.017415087770604302
169,Nanjing,transportation,PM25_NH4,0.006685611345643118
170,Guadalajara,agriculture,PM25_PRIMARY,0.0
171,Tokyo,waste_handling,PM25_PRIMARY,0.0005161053271677913
172,Karachi,waste_handling,PM25_NH4,1.951172334649444
173,Istanbul,residential,PM25_NO3,1.0937185794628996
174,Lisbon,powerplants,PM25_SOA,0.004737585863498926
175,Lima,agriculture,PM25_NH4,0.03374436394967574
176,Medellín,waste_handling,PM25_PRIMARY,1.0867008829199205
177,Addis Ababa,shipping,PM25_NO3,0.0
178,Los Angeles,dust,PM25_PRIMARY,0.10520602481646672
179,Guangzhou,residential,PM25_PRIMARY,0.7223244581291209
180,Paris,vegetation,PM25_SO4,0.0
181,Melbourne,soil,PM25_PRIMARY,0.0
182,Santiago,soil,PM25_NO3,0.008115331759522056
183,Wuhan,agriculture,PM25_NH4,0.2447045864358215
184,Nairobi,solvents,PM25_PRIMARY,0.0
185,Medellín,transportation,PM25_NO3,0.2476901520032705
186,Chennai,soil,PM25_NH4,0.0
187,Dakar,industry,PM25_SO4,2.4859340543247352
188,Jakarta,solvents,PM25_SOA,1.4465161590967128
189,Bengaluru,vegetation,PM25_NO3,0.0
190,Chengdu,powerplants,PM25_NH4,0.004460976604209557
191,Dar es Salaam,agriculture,PM25_PRIMARY,0.0
192,Addis Ababa,vegetation,PM25_PRIMARY,0.0
193,Ciudad de México,solvents,PM25_SOA,0.02358003137444424
194,Quito,industry,PM25_SO4,2.42401984487788
195,Lisbon,shipping,PM25_PRIMARY,0.0021689066024583197
196,Venice,shipping,PM25_PRIMARY,4.918245898311354e-05
197,Salvador,agriculture,PM25_NH4,0.014563834610879478
198,Lagos,residential,PM25_SO4,0.3240583211276626
199,Chennai,shipping,PM25_SOA,1.212664382040753e-05
200,Dubai,dust,PM25_PRIMARY,4.117448891063066
201,Milan,powerplants,PM25_NO3,0.022846241781727897
202,Barcelona,powerplants,PM25_NO3,0.014791714858721366
203,Singapore,shipping,PM25_PRIMARY,0.013117023312882637
204,Fuzhou,wildfires,PM25_PRIMARY,0.0020324877812621677
205,Chengdu,residential,PM25_NH4,0.06383824092793773
206,Abidjan,residential,PM25_PRIMARY,1.4614909460050984
207,Jakarta,residential,PM25_SOA,0.04418382509224015
208,New York City,transportation,PM25_SOA,0.03495290805729845
209,Oslo,soil,PM25_PRIMARY,0.0
210,Quezon City,residential,PM25_NH4,0.0001937861017980754
211,Cape Town,waste_handling,PM25_PRIMARY,3.3065299351081814
212,Dhaka,waste_handling,PM25_PRIMARY,0.19365429811667528
213,Boston,dust,PM25_NO3,0.0
214,Durban (eThekwini),transportation,PM25_SO4,0.10325011448826964
215,Shenzhen,residential,PM25_NH4,0.022481170029880745
216,Miami,wildfires,PM25_PRIMARY,2.2640109720225422e-05
217,Toronto,wildfires,PM25_SO4,0.0
218,Curitiba,industry,PM25_SOA,0.21251984146592126
219,Cape Town,powerplants,PM25_PRIMARY,0.01263202618833573
220,Fuzhou,transportation,PM25_PRIMARY,0.03111326145309052
221,Yokohama,residential,PM25_NH4,0.00720374798337317
222,Tel Aviv,vegetation,PM25_NH4,0.0
223,Curitiba,vegetation,PM25_NH4,0.0
224,Los Angeles,industry,PM25_PRIMARY,1.1098306355784189
225,Ciudad de México,waste_handling,PM25_PRIMARY,0.9978589118314676
226,Tshwane,wildfires,PM25_PRIMARY,0.0015030798850216008
227,Quezon City,waste_handling,PM25_PRIMARY,0.001756503457874938
228,Chicago,residential,PM25_PRIMARY,0.2612435740366904
229,Paris,soil,PM25_PRIMARY,0.0
230,Fuzhou,industry,PM25_NH4,0.0004801705497655204
231,Phoenix,industry,PM25_PRIMARY,0.09353198456236116
232,Houston,residential,PM25_PRIMARY,0.15939687679635986
233,Amsterdam,transportation,PM25_PRIMARY,0.044086225000592234
234,Bogotá,waste_handling,PM25_PRIMARY,0.8352364393787385
235,Qingdao,soil,PM25_PRIMARY,0.0
236,Karachi,waste_handling,PM25_NO3,0.23019977817390894
237,Chicago,soil,PM25_PRIMARY,0.0
238,Istanbul,solvents,PM25_PRIMARY,0.0
239,Yokohama,agriculture,PM25_PRIMARY,0.0
240,Beijing,wildfires,PM25_NH4,0.0014580374619974545
241,Guadalajara,agriculture,PM25_NH4,0.11723500171295165
242,Nairobi,agriculture,PM25_PRIMARY,0.0
243,Addis Ababa,wildfires,PM25_PRIMARY,0.0
244,Istanbul,residential,PM25_SO4,4.8982469040673156
245,Tokyo,soil,PM25_NH4,0.0
246,Nanjing,transportation,PM25_NO3,1.1224507866904316
247,Moscow,industry,PM25_PRIMARY,0.060281743922238736
248,Medellín,waste_handling,PM25_NH4,0.4558345153864528
249,Addis Ababa,shipping,PM25_SO4,0.0
250,Milan,dust,PM25_PRIMARY,0.0
251,Auckland,dust,PM25_PRIMARY,0.0
252,Melbourne,soil,PM25_NH4,0.0
253,Paris,vegetation,PM25_SOA,0.001223028153318861
254,Tokyo,agriculture,PM25_NH4,0.07845239170194636
255,Santiago,soil,PM25_SO4,0.0
256,Tshwane,shipping,PM25_PRIMARY,0.0
257,Quito,transportation,PM25_PRIMARY,0.5171854713817781
258,San Francisco,soil,PM25_PRIMARY,0.0
259,Nairobi,solvents,PM25_NH4,0.0
260,Bengaluru,wildfires,PM25_PRIMARY,0.0035174319511453145
261,Medellín,transportation,PM25_SO4,0.046470455886937545
262,Oslo,wildfires,PM25_PRIMARY,0.0
263,Amsterdam,soil,PM25_PRIMARY,0.0
264,Houston,shipping,PM25_PRIMARY,0.0004729598481378661
265,Los Angeles,dust,PM25_NH4,0.0
266,Dakar,industry,PM25_SOA,0.010940829230599691
267,Lima,agriculture,PM25_NO3,6.179086573775983e-05
268,Chennai,soil,PM25_NO3,0.014662921547533871
269,Kolkata,shipping,PM25_PRIMARY,1.6435407217332197e-06
270,Dakar,soil,PM25_PRIMARY,0.0
271,Bengaluru,vegetation,PM25_SO4,0.0
272,Addis Ababa,vegetation,PM25_NH4,0.0
273,Miami,industry,PM25_PRIMARY,0.2241210418797697
274,Karachi,wildfires,PM25_PRIMARY,0.0001682511460237421
275,Houston,soil,PM25_PRIMARY,0.0
276,Lisbon,shipping,PM25_NH4,5.423340834328217e-05
277,Guangzhou,residential,PM25_NH4,0.01851165745477431
278,Amsterdam,residential,PM25_PRIMARY,0.035153178869235704
279,Abidjan,solvents,PM25_PRIMARY,0.0
280,Dar es Salaam,agriculture,PM25_NH4,0.023046559486159728
281,Boston,soil,PM25_PRIMARY,0.0
282,Paris,shipping,PM25_PRIMARY,1.330989525470318e-05
283,Quito,industry,PM25_SOA,0.02367612211376186
284,Lima,soil,PM25_PRIMARY,0.0
285,Venice,shipping,PM25_NH4,5.06639095261488e-07
286,Salvador,agriculture,PM25_NO3,0.00016165625475479838
287,Lagos,residential,PM25_SOA,0.4646592612210154
288,Bogotá,solvents,PM25_PRIMARY,0.0
289,Tshwane,vegetation,PM25_PRIMARY,0.0
